127.0.0.1 - - [15/May/2023:09:48:15 +0900] "GET / HTTP/1.1" 200 37294
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET / HTTP/1.1" 200 37279
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/animal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/codingC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/report.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/photoshop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/animalB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/codingD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/child.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/photo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/codingE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/communication.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/skating.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/english.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/childB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/nail_art.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/pilat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:48:16 +0900] "GET /front/lesson/health.png HTTP/1.1" 304 -
